epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6143.39,1.09012,0.68988,1.22205,0.93968,0.93142,0.96383,0.63972,1.21511,0.64376,1.25448,0.0008251,0.0008251,0.0008251
55,6256.57,1.10922,0.69393,1.23772,0.94794,0.92092,0.96445,0.62801,1.23563,0.65465,1.27291,0.0008218,0.0008218,0.0008218
56,6369.75,1.08781,0.68294,1.21758,0.91493,0.8983,0.94908,0.62353,1.23401,0.68729,1.26286,0.0008185,0.0008185,0.0008185
57,6483.03,1.09714,0.67441,1.22751,0.94351,0.92198,0.96129,0.61991,1.24243,0.64722,1.26748,0.0008152,0.0008152,0.0008152
58,6596.6,1.09252,0.67353,1.22306,0.92518,0.90256,0.95252,0.63558,1.19765,0.67222,1.23408,0.0008119,0.0008119,0.0008119
59,6709.87,1.08839,0.67333,1.22264,0.94673,0.92042,0.95981,0.63643,1.22395,0.63447,1.24768,0.0008086,0.0008086,0.0008086
60,6822.95,1.10443,0.68323,1.23573,0.92254,0.92168,0.96013,0.61809,1.27813,0.65724,1.31383,0.0008053,0.0008053,0.0008053
61,6936.06,1.09977,0.67529,1.22362,0.94541,0.92242,0.96438,0.63085,1.22839,0.64039,1.27308,0.000802,0.000802,0.000802
62,7049.67,1.0841,0.65142,1.21733,0.94332,0.93609,0.96546,0.63915,1.22271,0.61544,1.24577,0.0007987,0.0007987,0.0007987
63,7162.83,1.07651,0.64454,1.2055,0.92871,0.92663,0.95937,0.61033,1.2976,0.64216,1.31419,0.0007954,0.0007954,0.0007954
64,7276.27,1.0909,0.68216,1.21905,0.93711,0.912,0.95733,0.62442,1.22682,0.64892,1.26175,0.0007921,0.0007921,0.0007921
65,7389.79,1.07213,0.65993,1.20945,0.93713,0.93513,0.967,0.63621,1.22632,0.6173,1.27206,0.0007888,0.0007888,0.0007888
66,7503.08,1.06432,0.64775,1.21208,0.93594,0.91422,0.95397,0.61336,1.26705,0.66117,1.3139,0.0007855,0.0007855,0.0007855
67,7616.52,1.06515,0.65112,1.21172,0.94928,0.92977,0.96267,0.63109,1.21431,0.617,1.25556,0.0007822,0.0007822,0.0007822
68,7730.13,1.05921,0.65441,1.19675,0.93584,0.91744,0.95907,0.63817,1.20091,0.61148,1.25077,0.0007789,0.0007789,0.0007789
69,7843.6,1.07128,0.64829,1.19777,0.93445,0.93494,0.96095,0.63905,1.21028,0.62409,1.25722,0.0007756,0.0007756,0.0007756
70,7956.92,1.08365,0.64984,1.20893,0.94049,0.9332,0.96487,0.60619,1.27287,0.63653,1.30496,0.0007723,0.0007723,0.0007723
71,8070.29,1.05458,0.63462,1.19298,0.94964,0.92417,0.96793,0.63712,1.23175,0.61416,1.28207,0.000769,0.000769,0.000769
72,8183.66,1.0639,0.65428,1.20372,0.93491,0.93465,0.96315,0.62005,1.24472,0.62481,1.30679,0.0007657,0.0007657,0.0007657
73,8296.92,1.06125,0.64135,1.19754,0.92458,0.92996,0.95899,0.62287,1.25184,0.6286,1.29094,0.0007624,0.0007624,0.0007624
74,8410.53,1.05433,0.63692,1.20012,0.92809,0.91725,0.96032,0.62983,1.21558,0.63883,1.25557,0.0007591,0.0007591,0.0007591
75,8524.1,1.03996,0.62371,1.19128,0.93131,0.91384,0.95599,0.62127,1.26308,0.64206,1.31113,0.0007558,0.0007558,0.0007558
76,8637.43,1.04319,0.62705,1.18928,0.93851,0.9317,0.96302,0.63306,1.24581,0.62211,1.30185,0.0007525,0.0007525,0.0007525
77,8750.64,1.05395,0.64416,1.20488,0.94205,0.93633,0.9644,0.64933,1.17813,0.60682,1.24109,0.0007492,0.0007492,0.0007492
78,8863.92,1.04611,0.62229,1.19222,0.9417,0.94284,0.96923,0.63723,1.20387,0.60739,1.26142,0.0007459,0.0007459,0.0007459
79,8977.28,1.03318,0.62274,1.17631,0.94908,0.93343,0.96602,0.62364,1.23957,0.60875,1.28674,0.0007426,0.0007426,0.0007426
80,9090.55,1.03263,0.63123,1.1826,0.9468,0.93787,0.97006,0.63469,1.21848,0.59487,1.26281,0.0007393,0.0007393,0.0007393
81,9204.11,1.04554,0.62828,1.1905,0.9607,0.933,0.9667,0.63962,1.20431,0.59982,1.25532,0.000736,0.000736,0.000736
82,9317.52,1.01942,0.60225,1.17362,0.93655,0.93436,0.96343,0.63264,1.21406,0.61068,1.2763,0.0007327,0.0007327,0.0007327
83,9431,1.02702,0.61278,1.18334,0.94919,0.94035,0.96907,0.64835,1.18783,0.58768,1.24454,0.0007294,0.0007294,0.0007294
84,9544.39,1.04811,0.6241,1.19077,0.94542,0.94749,0.96775,0.64624,1.18425,0.58523,1.2337,0.0007261,0.0007261,0.0007261
85,9657.75,1.0388,0.61787,1.18037,0.94087,0.92039,0.96582,0.64663,1.18344,0.5942,1.22231,0.0007228,0.0007228,0.0007228
86,9770.89,1.01834,0.60876,1.17026,0.94556,0.9342,0.96505,0.63686,1.22141,0.60683,1.2877,0.0007195,0.0007195,0.0007195
87,9884.21,1.0184,0.61359,1.17652,0.95269,0.93551,0.96824,0.64393,1.19843,0.59588,1.24504,0.0007162,0.0007162,0.0007162
88,9997.48,1.0273,0.61023,1.17672,0.92748,0.94396,0.95978,0.61573,1.28991,0.6309,1.33203,0.0007129,0.0007129,0.0007129
89,10110.7,1.01607,0.6037,1.17162,0.94069,0.92663,0.96037,0.63223,1.23591,0.59959,1.28571,0.0007096,0.0007096,0.0007096
90,10224.2,1.01496,0.60858,1.1796,0.95211,0.93768,0.96968,0.63775,1.24596,0.58762,1.29292,0.0007063,0.0007063,0.0007063
91,10337.9,1.00851,0.59395,1.17042,0.95647,0.94108,0.96799,0.63347,1.22837,0.59241,1.28989,0.000703,0.000703,0.000703
92,10451.2,1.01851,0.60536,1.18155,0.95449,0.94658,0.9689,0.64238,1.21459,0.58272,1.2769,0.0006997,0.0006997,0.0006997
93,10564.6,1.0026,0.59656,1.15308,0.93375,0.93744,0.96365,0.63247,1.2311,0.61025,1.28683,0.0006964,0.0006964,0.0006964
94,10678,0.99102,0.58224,1.15669,0.95409,0.94173,0.96929,0.64356,1.2076,0.58167,1.26546,0.0006931,0.0006931,0.0006931
95,10791.3,0.98915,0.58341,1.15527,0.95048,0.94201,0.96928,0.64844,1.17993,0.58683,1.23888,0.0006898,0.0006898,0.0006898
96,10904.6,1.01147,0.60375,1.16474,0.96106,0.93349,0.96986,0.63887,1.22264,0.58842,1.27726,0.0006865,0.0006865,0.0006865
97,11018,1.00388,0.59885,1.16375,0.95793,0.92833,0.96878,0.63449,1.23775,0.59567,1.30254,0.0006832,0.0006832,0.0006832
98,11131.3,0.99826,0.59571,1.1635,0.9356,0.94003,0.96451,0.62515,1.24644,0.61241,1.28888,0.0006799,0.0006799,0.0006799
99,11244.4,0.97965,0.57532,1.15014,0.96232,0.93539,0.96915,0.65273,1.20648,0.5819,1.254,0.0006766,0.0006766,0.0006766
100,11358.1,0.98866,0.58402,1.14115,0.95423,0.93887,0.9692,0.63997,1.2121,0.58593,1.2798,0.0006733,0.0006733,0.0006733
101,11471.4,0.99139,0.57461,1.14893,0.96359,0.94318,0.97234,0.65023,1.18768,0.57046,1.24569,0.00067,0.00067,0.00067
102,11584.5,0.98688,0.57836,1.15088,0.93902,0.94528,0.96763,0.64799,1.21792,0.59402,1.28078,0.0006667,0.0006667,0.0006667
103,11697.7,0.98226,0.57846,1.14759,0.94633,0.93926,0.96657,0.64013,1.24423,0.59215,1.30698,0.0006634,0.0006634,0.0006634
104,11810.9,0.98264,0.57553,1.15607,0.95247,0.94497,0.97138,0.65025,1.21462,0.57363,1.26212,0.0006601,0.0006601,0.0006601
105,11924.2,0.98021,0.57641,1.15272,0.94908,0.94495,0.97211,0.65351,1.17995,0.56705,1.23151,0.0006568,0.0006568,0.0006568
106,12037.4,0.97607,0.57477,1.14674,0.94647,0.94635,0.97409,0.64676,1.2065,0.57367,1.27066,0.0006535,0.0006535,0.0006535
107,12150.7,0.97432,0.56963,1.14794,0.93626,0.95417,0.96825,0.64716,1.19365,0.57851,1.25649,0.0006502,0.0006502,0.0006502
108,12264.3,0.96889,0.56869,1.13857,0.94889,0.95118,0.97276,0.65474,1.20962,0.57459,1.26403,0.0006469,0.0006469,0.0006469
109,12377.8,0.96677,0.56649,1.14165,0.94258,0.95192,0.96935,0.6512,1.20878,0.56423,1.2639,0.0006436,0.0006436,0.0006436
110,12491.2,0.98151,0.57584,1.14334,0.94519,0.95455,0.97558,0.66376,1.16697,0.55526,1.23523,0.0006403,0.0006403,0.0006403
111,12604.6,0.95084,0.55661,1.13203,0.94366,0.94775,0.97305,0.65285,1.205,0.56517,1.26667,0.000637,0.000637,0.000637
112,12717.9,0.97823,0.56281,1.13896,0.94067,0.95538,0.97374,0.66178,1.18681,0.56141,1.24636,0.0006337,0.0006337,0.0006337
113,12831.4,0.96567,0.56491,1.13942,0.95765,0.94052,0.97274,0.66896,1.17654,0.56134,1.23393,0.0006304,0.0006304,0.0006304
114,12944.6,0.96457,0.56511,1.13496,0.95561,0.93836,0.97368,0.65405,1.19927,0.56999,1.25882,0.0006271,0.0006271,0.0006271
115,13057.8,0.96871,0.56742,1.14018,0.95328,0.95368,0.97219,0.65521,1.20983,0.56222,1.28301,0.0006238,0.0006238,0.0006238
116,13171,0.95512,0.55105,1.13127,0.95306,0.95203,0.97121,0.65127,1.20721,0.56299,1.27945,0.0006205,0.0006205,0.0006205
117,13283.9,0.95323,0.54455,1.13454,0.96418,0.93957,0.97276,0.66444,1.18569,0.54942,1.25784,0.0006172,0.0006172,0.0006172
118,13396.8,0.95227,0.55206,1.12887,0.96089,0.94324,0.9685,0.64928,1.23166,0.5629,1.29872,0.0006139,0.0006139,0.0006139
119,13510.1,0.97303,0.56657,1.133,0.95459,0.94557,0.96929,0.65213,1.20443,0.55416,1.28159,0.0006106,0.0006106,0.0006106
120,13623.4,0.9508,0.5533,1.13269,0.95561,0.94158,0.96977,0.6646,1.17982,0.55596,1.24786,0.0006073,0.0006073,0.0006073
121,13736.7,0.95424,0.55158,1.1384,0.95564,0.93962,0.96936,0.65033,1.20614,0.56719,1.26195,0.000604,0.000604,0.000604
122,13850.2,0.94459,0.54023,1.11539,0.9469,0.95038,0.96821,0.64856,1.20209,0.55697,1.28652,0.0006007,0.0006007,0.0006007
123,13963.6,0.95497,0.54852,1.12817,0.94984,0.95231,0.974,0.65906,1.17888,0.55164,1.25159,0.0005974,0.0005974,0.0005974
124,14076.6,0.94275,0.5446,1.12686,0.95507,0.94882,0.96965,0.65038,1.20996,0.56023,1.27692,0.0005941,0.0005941,0.0005941
125,14189.6,0.93777,0.54799,1.11947,0.95019,0.94974,0.97329,0.65367,1.19666,0.55152,1.26088,0.0005908,0.0005908,0.0005908
126,14303.1,0.95294,0.54955,1.12902,0.95805,0.94337,0.97281,0.66081,1.18267,0.54878,1.2527,0.0005875,0.0005875,0.0005875
127,14416.5,0.94109,0.53835,1.1214,0.95782,0.93973,0.97337,0.65006,1.20043,0.55704,1.27241,0.0005842,0.0005842,0.0005842
128,14530,0.95036,0.53686,1.11969,0.96807,0.93724,0.9738,0.64571,1.22033,0.56463,1.30174,0.0005809,0.0005809,0.0005809
129,14643.5,0.92704,0.53854,1.11213,0.95311,0.93763,0.97205,0.65864,1.18316,0.56927,1.26182,0.0005776,0.0005776,0.0005776
130,14756.8,0.93147,0.5402,1.12321,0.96136,0.93591,0.9718,0.65673,1.21554,0.56121,1.2837,0.0005743,0.0005743,0.0005743
131,14870.2,0.94749,0.53813,1.12063,0.96346,0.94101,0.97394,0.65237,1.21703,0.56403,1.28364,0.000571,0.000571,0.000571
